,kernel,dimension,calib_method,stat_avg,stat_std
0,matern32,100,none,-5.991843527700218,0.9755029597522002
1,matern32,100,weightedmean,-5.855921430667416,1.2301589121001182
2,matern32,100,gpkern,-0.23534662494179273,5.932698833323436
3,matern32,100,noise,-5.991843527700218,0.9755029597522002
4,matern32,100,spectrum,-5.991843527700218,0.9755029597522002
5,matern32,1000,none,-1.934521445163286,2.5547328136961696
6,matern32,1000,weightedmean,-2.3491448023390795,2.290469984976025
7,matern32,1000,gpkern,7.534352281496585,6.759124638015267
8,matern32,1000,noise,-1.934521445163286,2.5547328136961696
9,matern32,1000,spectrum,-1.934521445163286,2.5547328136961696
10,matern32,10000,none,3.8749923174400642,0.8648787722479075
11,matern32,10000,weightedmean,2.5387261990269008,0.8398149472187784
12,matern32,10000,gpkern,17.158861692028367,2.384425707775514
13,matern32,10000,noise,3.8749923174400642,0.8648787722479075
14,matern32,10000,spectrum,3.8749923174400642,0.8648787722479075
