,kernel,dimension,calib_method,stat_avg,stat_std
0,matern32,100,none,-5.994311939068895,0.9755303788973398
1,matern32,100,weightedmean,-5.856300123588503,1.2302813402962964
2,matern32,100,gpkern,-0.20442598800216852,5.912361615596064
3,matern32,100,noise,0.3449175994512944,6.025240666400114
4,matern32,100,spectrum,0.1204782554251526,5.91670186840505
5,matern32,1000,none,-1.9296735752717538,2.554762220936236
6,matern32,1000,weightedmean,-2.358625587935515,2.370720853473078
7,matern32,1000,gpkern,7.332642016910813,6.996442042269544
8,matern32,1000,noise,4.103844374596533,4.99147067226942
9,matern32,1000,spectrum,4.037114324428913,4.967553354114822
10,matern32,10000,none,3.876434208415118,0.8607563605600698
11,matern32,10000,weightedmean,2.5525339253189916,0.80104555292345
12,matern32,10000,gpkern,17.153824364005825,2.3905571222879813
13,matern32,10000,noise,8.47337779409898,0.884181252914815
14,matern32,10000,spectrum,8.462918830103293,0.8835642969916367
15,matern52,100,none,-7.84345807420257,0.679825731925712
16,matern52,100,weightedmean,-7.430920108417472,0.8441633113348692
17,matern52,100,gpkern,-1.015631068490154,5.815910131012765
18,matern52,100,noise,-0.762369499288216,5.254949896467137
19,matern52,100,spectrum,-0.8002377464516387,5.239682924817777
20,matern52,1000,none,-4.3998528749041945,1.068071137323353
21,matern52,1000,weightedmean,-4.553795177131923,0.5543857066946395
22,matern52,1000,gpkern,1.5398491352209387,10.776419101970209
23,matern52,1000,noise,-1.0233710571853702,6.947313712658652
24,matern52,1000,spectrum,-1.0269033223987114,6.945263723688452
25,matern52,10000,none,-2.733494426216102,5.305050161308592
26,matern52,10000,weightedmean,-2.6307943124911795,3.9166124235449256
27,matern52,10000,gpkern,11.281145438492242,15.768000346182076
28,matern52,10000,noise,2.566100859536138,5.820759895203663
29,matern52,10000,spectrum,2.565620143813523,5.820575133453394
30,rbf,100,none,-7.552765294453812,1.5447980003428023
31,rbf,100,weightedmean,-7.136981222596588,1.832947290931814
32,rbf,100,gpkern,-0.724425374867849,7.868306387305652
33,rbf,100,noise,-0.9823374147295276,6.25288928483338
34,rbf,100,spectrum,-1.0066472761014587,6.251868685511363
35,rbf,1000,none,-4.944175285306288,3.373917770934864
36,rbf,1000,weightedmean,-5.173901747872267,2.5315097944715763
37,rbf,1000,gpkern,6.218606745366643,11.910324203389216
38,rbf,1000,noise,0.5922712884553433,5.984622982287602
39,rbf,1000,spectrum,0.5922466261372744,5.98461084234822
40,rbf,10000,none,0.1308371400961112,0.4983230102300115
41,rbf,10000,weightedmean,-3.2794043944343008,3.772678426052787
42,rbf,10000,gpkern,21.319685329063834,22.387589281817466
43,rbf,10000,noise,1.1612387338767212,6.791840398899369
44,rbf,10000,spectrum,1.1612352095860186,6.7918386133632085
